[INFO ] [2021-08-04 11:42:00,643] Pre-condition - Step 01: Open Browser: 'firefox' and navigate to 'http://demo.guru99.com/v4'
[INFO ] [2021-08-04 11:42:13,925] Pre-condition - Step 02: Get current Url
[INFO ] [2021-08-04 11:42:13,930] Pre-condition - Step 03: Click to 'here' link
[INFO ] [2021-08-04 11:42:16,111] Pre-condition - Step 04: Enter to 'Email ID' textbox
[INFO ] [2021-08-04 11:42:16,236] Pre-condition - Step 05: Click to 'Submit' button
[INFO ] [2021-08-04 11:42:17,576] Pre-condition - Step 06: Get 'User ID' value
[INFO ] [2021-08-04 11:42:17,675] Pre-condition - Step 07: Get 'Password' value
[INFO ] [2021-08-04 11:42:17,718] Pre-condition - Step 08: Back to LoginPage
[INFO ] [2021-08-04 11:42:18,686] Pre-condition - Step 09: Enter to 'UserID' textbox
[INFO ] [2021-08-04 11:42:18,775] Pre-condition - Step 10: Enter to 'Password' textbox
[INFO ] [2021-08-04 11:42:18,830] Pre-condition - Step 11: Click to 'Login' button
[INFO ] [2021-08-04 11:42:20,038] Pre-condition - Step 12: Verify login success message is displayed
[INFO ] [2021-08-04 11:42:20,448] OS name = windows 10
[INFO ] [2021-08-04 11:42:24,261] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-08-04 15:08:29,288] Pre-condition - Step 01: Open Browser: 'firefox' and navigate to 'http://demo.guru99.com/v4'
[INFO ] [2021-08-04 15:08:41,818] Pre-condition - Step 02: Get current Url
[INFO ] [2021-08-04 15:08:41,823] Pre-condition - Step 03: Click to 'here' link
[INFO ] [2021-08-04 15:08:44,253] Pre-condition - Step 04: Enter to 'Email ID' textbox
[INFO ] [2021-08-04 15:08:44,397] Pre-condition - Step 05: Click to 'Submit' button
[INFO ] [2021-08-04 15:08:45,228] Pre-condition - Step 06: Get 'User ID' value
[INFO ] [2021-08-04 15:08:45,325] Pre-condition - Step 07: Get 'Password' value
[INFO ] [2021-08-04 15:08:45,362] Pre-condition - Step 08: Back to LoginPage
[INFO ] [2021-08-04 15:08:46,325] Pre-condition - Step 09: Enter to 'UserID' textbox
[INFO ] [2021-08-04 15:08:46,410] Pre-condition - Step 10: Enter to 'Password' textbox
[INFO ] [2021-08-04 15:08:46,467] Pre-condition - Step 11: Click to 'Login' button
[INFO ] [2021-08-04 15:08:47,430] Pre-condition - Step 12: Verify login success message is displayed
[INFO ] [2021-08-04 15:08:47,798] New_Customer_Name cannot be empty - Step 01: Click to 'New Customer' Link
[INFO ] [2021-08-04 15:08:48,424] New_Customer_Name cannot be empty - Step 02: Send blank value to 'Customer Name' textbox
[INFO ] [2021-08-04 15:08:48,521] New_Customer_Name cannot be empty - Step 03: Press key TAB to 'Customer Name' textbox
